id;total_help_time;date_from;date_to;time_from;time_to;time_type;content;other_task
1;7904;2020-12-15T08:29:38;2020-12-15T04:24:04;disinterme;Ethiopia u;SPECIFIC_TIME;Steel Malaysia;info-mediaries
2;42051;2020-12-15T09:12:10;2020-12-15T01:03:54;drive Kwan;Practical;SPECIFIC_TIME;maximized navigating Research;cross-platform Technician
3;83050;2020-12-15T02:33:40;2020-12-15T03:36:03;Granite;override S;HOUR;Factors Sleek Frozen Bike Money Market Account;demand-driven
4;54961;2020-12-15T20:15:36;2020-12-15T09:47:54;Program Ru;ubiquitous;HOUR;navigating;Total Small
5;17293;2020-12-15T09:34:09;2020-12-15T21:09:44;AI;Devolved o;HOUR;Cotton Awesome Granite Cheese Falls;violet Brunei Darussalam
6;13487;2020-12-15T02:23:46;2020-12-15T07:51:08;Nebraska p;Turkish Li;HOUR;Administrator Legacy;calculate
7;48442;2020-12-15T00:42:06;2020-12-15T11:15:02;Plain inpu;User-centr;HOUR;primary;sticky
8;22515;2020-12-15T01:55:09;2020-12-15T06:10:55;Personal L;Island IB;HOUR;3rd generation Visionary;backing up
9;32519;2020-12-15T06:07:43;2020-12-15T08:32:04;Persistent;ROI collab;HOUR;Home;Games Product
10;41986;2020-12-15T13:58:36;2020-12-15T02:09:47;cross-plat;virtual;HOUR;Money Market Account Orchestrator Books;invoice projection payment
