id;image_url;sort_order;is_default;privacy
1;systems Refined Granite Salad Savings Account;54089;false;PRIVATE
2;Lane Investment Account;18638;true;GROUP
3;calculating eyeballs Money Market Account;28723;false;FRIENDS_OF_FRIENDS
4;Optimization Credit Card Account Wooden;94398;true;FRIENDS
5;synergies Manager;98595;true;FRIENDS_OF_FRIENDS
6;New Mexico;91583;true;PRIVATE
7;Glen Borders Awesome Concrete Bike;5110;true;PUBLIC
8;Delaware Assistant;61600;true;PRIVATE
9;withdrawal;45405;true;FRIENDS_OF_FRIENDS
10;Balboa US Dollar Brazilian Real Shoals;45109;true;PUBLIC
