id;title;type;acceptance;request_status;is_offer;offer_to;message;instruction;status;location_type;real_start;real_end;rating;requester_comment;helper_comment;flagged;coins;bonus
1;array Refined Toys;GARDEN;National payment;CANCEL;false;GROUP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pending;OTHER;2020-12-15T03:32:13;2020-12-15T00:11:17;74685;Shirt bypassing;Fantastic Frozen Computer;9762;60517;59294
2;neural value-added;CHILD;Unbranded Tactics Practical Plastic Pants;COMPLETED;true;PUBLIC;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Active;OUR_HOME;2020-12-15T01:50:27;2020-12-15T11:50:58;7896;Multi-layered Chair neural;Refined;6503;64423;35904
3;Intelligent Wooden Cheese Oregon Reunion;GARDEN;Shoes Liaison;COMPLETED;false;FRIENDS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pending;OUR_OR_YOUR_HOME;2020-12-15T01:36:48;2020-12-15T20:42:20;12445;superstructure systems mobile;compress enhance;27836;61788;17188
4;Credit Card Account e-tailers XML;HOUSE;Bedfordshire transmitter;COMPLETED;true;FRIENDS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Pending;OTHER;2020-12-15T11:58:05;2020-12-15T06:44:32;58667;programming;Home Loan Account;74468;97941;35655
5;Steel Avon Maine;HOUSE;synergies mobile Passage;NEW;true;FRIENDS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Active;OTHER;2020-12-15T05:40:01;2020-12-15T08:56:41;27204;open-source Licensed;Mill;64931;32730;48306
6;Principal relationships;HOUSE;Money Market Account deposit withdrawal;UNDONE;true;FRIENDS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Inactive;OUR_OR_YOUR_HOME;2020-12-15T22:22:08;2020-12-15T05:06:58;41003;GB Sausages;capacitor;29709;3728;26268
7;backing up e-markets;PET;Virtual infomediaries;APPROVED;false;PUBLIC;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Active;OUR_OR_YOUR_HOME;2020-12-15T07:45:02;2020-12-15T09:18:31;12086;Passage metrics;TCP;78228;3330;71516
8;revolutionary;CHILD;Awesome Wooden Table Savings Account;CANCEL;true;PUBLIC;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Inactive;OUR_OR_YOUR_HOME;2020-12-15T11:18:22;2020-12-15T10:06:06;13007;Music Program program;Malta architect Group;57131;29071;75195
9;Avon Cross-platform toolset;PET;Rustic Bedfordshire generate;APPROVED;false;GROUP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Inactive;YOUR_HOME;2020-12-15T06:07:46;2020-12-15T12:14:51;99901;Grocery panel bleeding-edge;PCI online;73710;51161;40606
10;Knoll Assurance;HOUSE;navigating Berkshire Sleek;COMPLETED;false;PRIVATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Inactive;OUR_OR_YOUR_HOME;2020-12-15T17:24:20;2020-12-15T15:32:48;29424;bypassing;orchestration Small Granite Mouse migration;73897;37248;75398
