id;services;cleaning_time;cleaning_from_time;cleaning_to_time;cleaning_equipment;cleaning_description;cooking_from_time;cooking_to_time;cooking_serves;cooking_data;pickup_type;house_minding_detail;mail_from_date;mail_to_date;mail_after;mail_collection_days;other_description;other_hours;other_from_time;other_to_time;other_equipment;provide_for;provide_type
1;../fake-data/blob/hipster.txt;85178;2020-12-15T00:06:02;2020-12-15T19:34:48;OURS;monitor;2020-12-15T16:07:16;2020-12-15T16:00:08;34580;Versatile Garden;15563;../fake-data/blob/hipster.txt;2020-12-15T06:50:06;2020-12-15T11:25:31;Regional Borders;Mississippi;Saint Lucia Rustic back-end;58158;2020-12-15T11:53:03;2020-12-15T16:52:40;EITHER;25876;FAMILY
2;../fake-data/blob/hipster.txt;64664;2020-12-15T16:36:08;2020-12-15T20:06:06;EITHER;SAS;2020-12-15T14:39:11;2020-12-15T08:59:49;50573;Health Avon Senior;98902;../fake-data/blob/hipster.txt;2020-12-15T22:17:46;2020-12-15T15:59:53;Fantastic Steel Chicken backing up synthesizi;24/7 Wells;Adaptive Harbors;78979;2020-12-15T10:26:59;2020-12-15T17:36:42;OURS;82861;FAMILY
3;../fake-data/blob/hipster.txt;60278;2020-12-15T15:25:04;2020-12-15T15:34:47;EITHER;Agent Investment Account;2020-12-15T15:14:23;2020-12-15T08:51:50;34856;Washington;44002;../fake-data/blob/hipster.txt;2020-12-15T12:24:58;2020-12-15T04:56:41;yellow deposit Run;plug-and-play;Circle Nuevo Sol;98398;2020-12-15T19:54:09;2020-12-15T04:39:03;YOURS;87356;FAMILY
4;../fake-data/blob/hipster.txt;61971;2020-12-15T00:34:24;2020-12-15T17:25:21;YOURS;West Virginia;2020-12-15T01:24:33;2020-12-15T12:08:40;49785;copying Rustic;86818;../fake-data/blob/hipster.txt;2020-12-15T10:36:41;2020-12-15T21:02:18;red;Silver Buckinghamshire Solutions;Mouse Consultant;72928;2020-12-15T01:43:39;2020-12-15T13:55:38;YOURS;37549;SUPPORTED
5;../fake-data/blob/hipster.txt;74657;2020-12-15T18:36:49;2020-12-15T05:55:18;EITHER;hack deposit embrace;2020-12-15T08:53:29;2020-12-15T01:07:47;36792;AGP parsing;99105;../fake-data/blob/hipster.txt;2020-12-15T00:34:02;2020-12-15T20:12:16;Ergonomic;optical navigate;Clothing disintermediate Brand;31475;2020-12-15T11:08:57;2020-12-15T21:17:02;EITHER;79699;SUPPORTED
6;../fake-data/blob/hipster.txt;57792;2020-12-15T19:17:17;2020-12-15T05:18:10;YOURS;virtual;2020-12-15T19:28:29;2020-12-15T02:54:06;12443;value-added;58270;../fake-data/blob/hipster.txt;2020-12-15T04:23:25;2020-12-15T10:26:50;Regional reinvent next-generation;Shoes next-generation infrastructure;Avon pink;97959;2020-12-15T00:32:21;2020-12-15T05:27:48;YOURS;3869;FAMILY
7;../fake-data/blob/hipster.txt;35961;2020-12-15T19:15:10;2020-12-15T12:54:58;YOURS;synthesize Squares;2020-12-15T20:33:58;2020-12-15T08:08:04;58822;Fantastic Cotton Ball;74191;../fake-data/blob/hipster.txt;2020-12-15T09:42:34;2020-12-15T07:03:40;Executive wireless;mint green Intelligent Concrete Computer compressing;Cheese;66906;2020-12-15T04:37:09;2020-12-15T22:50:14;EITHER;46296;SUPPORTED
8;../fake-data/blob/hipster.txt;3041;2020-12-15T01:06:45;2020-12-15T09:02:19;EITHER;generate Coordinator Agent;2020-12-15T13:04:41;2020-12-15T01:47:37;29001;Kenyan Shilling Multi-lateral Village;90705;../fake-data/blob/hipster.txt;2020-12-15T12:54:04;2020-12-15T11:15:20;Czech Koruna Saint Barthelemy;Garden;alarm Sleek Concrete Chicken;34971;2020-12-15T21:31:02;2020-12-15T05:48:10;EITHER;25575;FAMILY
9;../fake-data/blob/hipster.txt;10222;2020-12-15T08:36:44;2020-12-15T05:33:15;EITHER;concept Cape Verde Fresh;2020-12-15T04:01:53;2020-12-15T12:23:26;89569;client-driven;65483;../fake-data/blob/hipster.txt;2020-12-15T08:36:43;2020-12-15T16:15:53;Optional;24/365 RSS SMS;Iran;66943;2020-12-15T00:29:20;2020-12-15T23:11:00;OURS;40315;SUPPORTED
10;../fake-data/blob/hipster.txt;76443;2020-12-15T16:36:43;2020-12-15T05:36:28;OURS;Connecticut Wooden Architect;2020-12-15T21:14:22;2020-12-15T14:56:38;78477;Michigan Electronics driver;28665;../fake-data/blob/hipster.txt;2020-12-15T10:41:32;2020-12-15T13:26:04;Ergonomic Concrete Car Rustic;plum Dynamic sexy;Mills hack New Mexico;61879;2020-12-15T05:38:31;2020-12-15T06:38:13;YOURS;99233;FAMILY
