id;code;name;is_default;active
1;PCI;Pants Baby;true;false
2;Pound Sterling Auto Loan Account;New Hampshire back-end;false;true
3;Functionality Investor bandwidth;Legacy partnerships extend;true;true
4;input Dynamic;SMS grow cutting-edge;false;true
5;target Tasty;access;true;true
6;Shoes Operations online;Shoes e-services deposit;false;true
7;Ergonomic Plastic Chicken;Ergonomic Concrete Cheese turn-key;false;false
8;withdrawal calculating;Shoes;false;true
9;Engineer Operations Exclusive;wireless Berkshire;true;false
10;turquoise Manager quantifying;withdrawal Qatari Rial;false;true
