id;type;content;link;meta_data;m4m_read
1;RENEW_SUBSCRIPTION;Jewelery;Metal systematic generate;../fake-data/blob/hipster.txt;true
2;REVIEW_HELPING;copying copying vertical;Rubber invoice Directives;../fake-data/blob/hipster.txt;true
3;ACCEPT_HELPING;synergies synthesizing invoice;Practical Virtual;../fake-data/blob/hipster.txt;false
4;REMOVE_FRIEND;Graphical User Interface;withdrawal compressing Unbranded Wooden Salad;../fake-data/blob/hipster.txt;true
5;RENEW_SUBSCRIPTION;interface;Health Berkshire;../fake-data/blob/hipster.txt;false
6;EXPIRED_SUBSCRIPTION;Jewelery;Berkshire auxiliary Ameliorated;../fake-data/blob/hipster.txt;true
7;REJECT_FRIEND;Spring wireless Engineer;Kenya back up;../fake-data/blob/hipster.txt;true
8;ACCEPT_FRIEND;Libyan Arab Jamahiriya bandwidth;Shirt Metal Lithuanian Litas;../fake-data/blob/hipster.txt;true
9;DECLINE_HELPING;visualize;cross-platform circuit Kwanza;../fake-data/blob/hipster.txt;false
10;RENEW_SUBSCRIPTION;Malaysian Ringgit Gorgeous Wooden Car;navigate Shoes;../fake-data/blob/hipster.txt;false
