id;total_help_time;date_from;date_to;time_from;time_to;content
1;50131;2020-12-15T23:09:01;2020-12-15T14:47:33;maximize N;schemas;programming Executive Analyst
2;10978;2020-12-15T05:39:19;2020-12-15T05:25:11;focus grou;web-enable;primary invoice
3;64637;2020-12-15T03:17:14;2020-12-15T15:09:27;deposit;Strategist;Car
4;59623;2020-12-15T15:31:00;2020-12-15T05:15:50;systems Te;Drive digi;compress Intelligent Metal Bacon
5;10667;2020-12-15T23:04:49;2020-12-15T16:56:32;turquoise;Nicaragua ;Awesome
6;8725;2020-12-15T04:54:50;2020-12-15T20:08:53;Customer-f;technologi;Human Berkshire teal
7;98172;2020-12-15T09:54:42;2020-12-15T17:31:49;French Pol;Checking A;Home Loan Account
8;75543;2020-12-15T11:23:11;2020-12-15T04:14:55;Automotive;Borders So;Guinea system
9;3049;2020-12-15T06:19:04;2020-12-15T02:31:46;navigating;Associate ;Public-key Lead
10;62547;2020-12-15T06:28:02;2020-12-15T20:13:02;Savings Ac;program;mobile Home Loan Account override
