id;name;amount;months;status;type
1;California infrastructure deploy;SSL;54127;Active;PAID
2;azure Metal;Internatio;19604;Pending;PAID
3;Central Universal Chile;innovative;72125;Inactive;PAID
4;overriding Infrastructure Berkshire;Buckingham;82854;Active;FREE
5;e-tailers red;Frozen;25427;Inactive;FREE
6;Shoes Money Market Account Mouse;connecting;67485;Inactive;FREE
7;Montserrat leading-edge Industrial;deposit si;55412;Active;FREE
8;red vortals Trail;paradigm;7469;Inactive;PAID
9;Refined distributed mint green;Soap exten;98170;Active;FREE
10;transmitting bandwidth;Directives;74649;Active;FREE
