id;total_help_time;date_from;date_to;time_from;time_to;time_type;supported_help_type;content;other_task
1;1501;2020-12-15T04:17:21;2020-12-15T12:30:31;port olive;6th genera;HOUR;WITH_ERRAN;reboot productivity;Cambridgeshire
2;47565;2020-12-15T00:55:03;2020-12-15T19:22:24;expedite S;scalable m;SPECIFIC_TIME;COMPANY;Unbranded Common;Universal navigating
3;15199;2020-12-15T02:04:38;2020-12-15T17:32:36;Colorado;Assurance ;SPECIFIC_TIME;WITH_ERRAN;Handmade explicit;Square deposit Avon
4;83531;2020-12-15T05:28:55;2020-12-15T18:34:38;virtual re;Dynamic Pr;HOUR;COMPANY;Concrete redefine;Practical Steel Keyboard Personal Loan Account Bedfordshire
5;38593;2020-12-15T14:30:54;2020-12-15T02:38:04;Secured se;Greenland ;SPECIFIC_TIME;COMPANY;magnetic;B2B
6;1404;2020-12-15T13:52:36;2020-12-15T08:40:20;SCSI;Brand;HOUR;WITH_ERRAN;California;protocol protocol
7;91899;2020-12-15T14:48:22;2020-12-15T16:43:20;Salad Peru;red Upgrad;HOUR;WITH_ERRAN;Tuna;Tasty Concrete Pants
8;3828;2020-12-15T01:29:15;2020-12-15T22:16:06;moratorium;Division;SPECIFIC_TIME;COMPANY;Buckinghamshire Berkshire Generic;array override Brunei Darussalam
9;89653;2020-12-15T01:20:41;2020-12-15T20:47:09;back-end w;Toys Kwanz;HOUR;OTHER;Hawaii Spur visionary;Bedfordshire Quetzal
10;20505;2020-12-15T02:50:35;2020-12-15T07:47:07;deposit;Computers ;HOUR;OTHER;Administrator lavender;success neural interface
